Start Time,End Time,Duration,Number of Entries,Hour of Day,Weekend,Tailgating Detected,Human Feedback,Generation Logic,Human Explanation,Outlier Flag
2025-04-14 09:03:00,2025-04-14 09:03:19,19.0,1,9,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-14 09:24:00,2025-04-14 09:24:06,6.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 09:33:00,2025-04-14 09:33:07,7.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 09:35:00,2025-04-14 09:35:15,15.0,1,9,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-14 10:13:00,2025-04-14 10:13:19,19.0,1,10,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-14 10:14:00,2025-04-14 10:14:15,15.0,1,10,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-14 11:09:00,,,197,11,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-14 11:22:00,2025-04-14 11:22:17,17.0,1,11,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-14 12:53:00,2025-04-14 12:53:05,5.0,1,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 13:05:00,2025-04-14 13:05:09,9.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 13:47:00,2025-04-14 13:47:06,6.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 13:56:00,2025-04-14 13:56:06,6.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 14:06:00,2025-04-14 14:06:15,15.0,1,14,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-14 14:55:00,2025-04-14 14:55:04,4.0,1,14,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 16:13:00,2025-04-14 16:13:17,17.0,1,16,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-14 16:55:00,2025-04-14 16:55:16,16.0,1,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-14 17:17:00,2025-04-14 17:17:05,5.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-14 22:57:00,2025-04-14 22:57:16,16.0,1,22,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-15 00:11:00,2025-04-15 00:11:15,15.0,1,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-15 09:35:00,2025-04-15 09:35:16,16.0,1,9,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-15 10:21:00,2025-04-15 10:21:06,6.0,1,10,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-15 11:47:00,2025-04-15 11:47:04,4.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-15 13:15:00,2025-04-15 13:15:07,7.0,2,13,0,1,0,normal,"Single authorized entry, door closed properly.",0
2025-04-15 13:15:00,2025-04-15 13:15:15,15.0,2,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-15 13:47:00,2025-04-15 13:47:20,20.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-15 14:31:00,,,197,14,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-15 15:26:00,2025-04-15 15:26:10,10.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-15 15:46:00,2025-04-15 15:46:16,16.0,1,15,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-15 16:42:00,2025-04-15 16:42:15,15.0,1,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-15 16:58:00,2025-04-15 16:58:06,6.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-15 18:16:00,2025-04-15 18:16:06,6.0,1,18,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-16 10:33:00,2025-04-16 10:33:20,20.0,1,10,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-16 10:54:00,2025-04-16 10:54:06,6.0,1,10,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-16 12:53:00,2025-04-16 12:53:17,17.0,1,12,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-16 13:23:00,2025-04-16 13:23:07,7.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-16 13:47:00,2025-04-16 13:47:38,38.0,1,13,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-16 14:16:00,2025-04-16 14:16:34,34.0,1,14,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-16 14:57:00,2025-04-16 14:57:15,15.0,1,14,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-16 16:55:00,2025-04-16 16:55:07,7.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-16 17:02:00,2025-04-16 17:02:18,18.0,1,17,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-16 17:29:00,2025-04-16 17:29:05,5.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-16 18:55:00,2025-04-16 18:55:05,5.0,1,18,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-17 09:11:00,2025-04-17 09:11:39,39.0,1,9,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-17 09:13:00,2025-04-17 09:13:07,7.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-17 09:42:00,2025-04-17 09:42:19,19.0,1,9,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-17 10:21:00,2025-04-17 10:21:04,4.0,1,10,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-17 10:51:00,2025-04-17 10:51:08,8.0,1,10,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-17 15:07:00,2025-04-17 15:07:07,7.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-17 15:25:00,2025-04-17 15:25:12,12.0,2,15,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-17 15:25:00,2025-04-17 15:25:21,21.0,2,15,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-17 15:31:00,2025-04-17 15:31:05,5.0,1,15,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-17 15:58:00,2025-04-17 15:58:37,37.0,1,15,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-17 16:13:00,2025-04-17 16:13:36,36.0,1,16,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-17 16:18:00,2025-04-17 16:18:05,5.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 01:18:00,2025-04-18 01:18:06,6.0,1,1,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 05:36:00,2025-04-18 05:36:03,3.0,1,5,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 09:33:00,2025-04-18 09:33:06,6.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 10:25:00,2025-04-18 10:25:31,31.0,1,10,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-18 11:01:00,2025-04-18 11:01:08,8.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 11:08:00,2025-04-18 11:08:10,10.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 11:09:00,2025-04-18 11:09:19,19.0,1,11,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-18 12:43:00,2025-04-18 12:43:59,59.0,1,12,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-18 13:29:00,2025-04-18 13:29:20,20.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-18 14:05:00,,,197,14,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-18 14:20:00,2025-04-18 14:20:07,7.0,1,14,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 15:01:00,2025-04-18 15:01:10,10.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 16:00:00,2025-04-18 16:00:15,15.0,1,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-18 16:07:00,2025-04-18 16:07:10,10.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-18 16:21:00,2025-04-18 16:21:19,19.0,1,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-18 16:33:00,2025-04-18 16:33:17,17.0,1,16,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-18 17:12:00,2025-04-18 17:12:08,8.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-19 05:26:00,2025-04-19 05:26:10,10.0,1,5,1,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-19 11:03:00,2025-04-19 11:03:18,18.0,1,11,1,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-19 21:31:00,2025-04-19 21:31:24,24.0,1,21,1,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-20 12:21:00,2025-04-20 12:21:18,18.0,1,12,1,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-20 14:03:00,2025-04-20 14:03:09,9.0,1,14,1,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 04:22:00,2025-04-21 04:22:17,17.0,1,4,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-21 09:00:00,2025-04-21 09:00:06,6.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
