Time Stamp,User ID,Door Opened,Door Closed,Tailgating Detected,Human Feedback,Generation Logic,Human Logic explaining the feedback for the episode
2025-04-14 09:03:00,user_75,1,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:03:04,user_75,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:03:05,user_75,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:03:16,user_75,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:03:19,user_75,0,1,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:24:00,user_177,1,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:24:03,user_177,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:24:04,user_177,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:24:06,user_177,0,1,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:33:00,user_138,1,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:33:01,user_138,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:33:05,user_138,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:33:07,user_138,0,1,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 09:35:00,user_37,1,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:35:04,user_37,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:35:08,user_37,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 09:35:15,user_37,0,1,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 10:13:00,user_90,1,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 10:13:05,user_90,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 10:13:09,user_90,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 10:13:11,user_90,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 10:13:19,user_90,0,1,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 10:14:00,user_171,1,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.
2025-04-14 10:14:12,user_171,0,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.
2025-04-14 10:14:15,user_171,0,1,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.
2025-04-14 11:09:00,user_146,1,0,0,0,door_left_open,Door was left open; no door closed event logged.
2025-04-14 11:09:14,user_146,0,0,0,0,door_left_open,Door was left open; no door closed event logged.
2025-04-14 11:10:09,user_146,0,0,0,0,door_left_open,Door was left open; no door closed event logged.
2025-04-14 11:12:06,user_146,0,0,0,0,door_left_open,Door was left open; no door closed event logged.
2025-04-14 11:22:00,user_121,1,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 11:22:01,user_121,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 11:22:16,user_121,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 11:22:16,user_121,0,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 11:22:17,user_121,0,1,1,0,guest_entry,Guest was invited; system flagged as tailgating.
2025-04-14 12:53:00,user_141,1,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 12:53:01,user_141,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 12:53:03,user_141,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 12:53:04,user_141,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 12:53:05,user_141,0,1,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 13:05:00,user_173,1,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 13:05:02,user_173,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 13:05:03,user_173,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 13:05:06,user_173,0,0,0,0,normal,"Single authorized entry, door closed properly."
2025-04-14 13:05:09,user_173,0,1,0,0,normal,"Single authorized entry, door closed properly."
